"","Row","Col","ControlType","ProbeName","SystematicName","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"937",7,21,0,"A_25_P00010474","hsa-miR-100-5p",-3.40642194748283,9.74218193042203,-5.58349555280162,2.23904403205328e-05,0.00205040823092147,2.84809618808479
"807",6,43,0,"A_25_P00013173","hsa-miR-21-3p",1.41103517680286,6.89366873873932,5.57878523386304,2.26200559233366e-05,0.00206424613892614,2.83827871052678
"32364",222,34,0,"A_25_P00015043","hsa-miR-1271-5p",-1.7901288160461,6.22806485020974,-5.578615412891,2.26283791587915e-05,0.00206424613892614,2.83792471177021
"55592",381,153,0,"A_25_P00010182","hsa-miR-381",-1.15477127491322,6.06324025674092,-5.5781328423226,2.26520479523156e-05,0.00206424613892614,2.83691875488227
"28766",197,65,0,"A_25_P00010474","hsa-miR-100-5p",-3.65443444215521,10.0025070409805,-5.57530025048846,2.27914912916656e-05,0.00207153465542951,2.83101342999493
"42101",289,54,0,"A_25_P00011998","hsa-miR-26a-5p",-2.88232941975119,9.62180444274192,-5.57500747935778,2.28059539361931e-05,0.00207153465542951,2.83040301256915
"39610",272,27,0,"A_25_P00013427","hsa-miR-145-3p",-1.14814571694089,5.97259069320723,-5.5727992483596,2.29153420019534e-05,0.0020781026329409,2.82579859967165
"36489",250,130,0,"A_25_P00012012","hsa-miR-29a-3p",-2.47809501817664,11.3116617279699,-5.56783616993216,2.31631615071146e-05,0.00209478464360279,2.81544789447432
"4358",30,78,0,"A_25_P00012691","hsa-miR-532-3p",-1.85032539677198,6.31395284824153,-5.56761934807996,2.31740503717388e-05,0.00209478464360279,2.81499563664264
"43723",300,64,0,"A_25_P00010475","hsa-miR-100-5p",-3.08850042342428,8.68531558149941,-5.56620173134162,2.32453728862595e-05,0.00209570255630403,2.81203856306118
"51688",355,68,0,"A_25_P00010130","hsa-miR-497-5p",-2.30932523975726,6.91579081927282,-5.56593152753493,2.32589927560685e-05,0.00209570255630403,2.81147490506788
"33551",230,68,0,"A_25_P00012002","hsa-miR-26b-5p",-2.78565735246745,9.58450514902686,-5.55486131845228,2.38240826086052e-05,0.00214058946416789,2.78837446468109
"36841",253,29,0,"A_25_P00012002","hsa-miR-26b-5p",-2.76505941950918,9.48892615416452,-5.55338295965528,2.39006041727414e-05,0.00214317673641139,2.78528844174862
